article	summary
at&amp;t corp. tomorrow will launch a service that allows individual consumers to link their personal computers to the internet via pc modems , in an effort to profit from the burgeoning on-line services market .	at&amp;t to introduce access to internet via modems tomorrow
he was a highly decorated vietnam veteran , a successful salesman , a doting father of four .	father exonerated in sex abuse case
a total of ### senior officials of peru 's national police , including almost half of all generals on the force , will be forced into early retirement , interior minister fernando rospigliosi announced saturday .	almost ### peruvian police officials forced into retirement
an international seminar on `` roots of racism and anti-semitism '' will be held between january ## and ## in turkey 's biggest city of istanbul , the anatolia news agency reported today .	turkey to host seminar on racism
chinese scientists have succeeded in breeding the first cattle from frozen embryos in the rarefied atmosphere of the qinghai-tibet plateau .	frozen cattle embryos take to chinese highlands
the senate brushed aside an attempt to block renewal of the antiterrorism law known as the usa patriot act thursday , voting ## to # against changes urged by sen. russell d. feingold , the act 's most persistent critic .	senate vote signals that patriot act will be renewed
president georgi parvanov summoned france 's ambassador on wednesday in a show of displeasure over comments from french president jacques chirac chiding east european nations for their support of washington on the issue of iraq .	bulgarian president critical of chirac comments chiding east europeans
one u.s. navy service member was killed in a shootout with taliban fighters in the eastern afghan province of logar and another is in insurgent custody , a taliban spokesman and afghan officials said sunday .	taliban afghan officials say one of two missing u.s. troops is dead
china should continue to get funds from the international development association -lrb- ida -rrb- , the world bank 's lending arm , the bank 's president , james wolfensohn said here today at a news conference .	china entitled to ida funds says bank president
president bill clinton will discuss problems of the american family when he meets pope john paul ii on wednesday but is unlikely to raise the subject of abortion , a spokesman said .	clinton to raise family issues in talks with pope
farmers in inner mongolia , one of china 's worst hit areas for soil erosion , have made great efforts to reclaim the land .	inner mongolia curbs soil erosion
china 's benchmark shanghai composite index on the shanghai stock exchange closed at #,###.## points wednesday , up ##.## points , or #.## percent , from the previous close .	shanghai stock indices up sept. #
vanuatu and new caledonia scored late goals saturday to draw #-# in an oceania region world cup qualifier .	vanuatu new caledonia draw #-# in oceania world cup qualifier
when the university of california at berkeley lends its department of intercollegiate athletics millions of dollars to pay off its bills each year -- even forgiving that debt at times -- it 's helping out a top-tier college sports program beloved by thousands of fans .	college chiefs lament subsidies for sports
as he tells the story , david glass was n't too impressed by his first encounter with wal-mart back on a sweltering day in the ####s .	wal-mart did n't always impress ceo
german consumer confidence is slipping amid concerns about europe 's debt crisis and the volatile euro , according to a survey published wednesday .	german consumer confidence seen slipping
eerie footage of the devastation wrought by the #### london bombings was shown in public for the first time tuesday at the inquests into the deaths of ## innocent passengers .	grisly london bombings video shown to inquest
the united states has pledged ## million dollars in development aid to the autonomous palestinian territories , us ambassador pamela harriman told a conference of donor countries here on tuesday .	united states grants palestinians ## million dollars in aid
shane warne on tuesday admitted he had first taken the banned diuretic which earned him a ##-month ban from cricket in december last year - to get rid of an UNK double chin .	warne admits to taking prior fluid tablet
media mogul silvio berlusconi battled to stay in power in italian parliamentary elections sunday with his conservatives trying to beat back a strong challenge from romano prodi , a former premier who leads a coalition ranging from moderates to communists .	berlusconi battles to stay in power as italians vote
china 's stocks plummeted #.# percent to a two-month low on wednesday 's close , as the real estate , non - ferrous metals and coal shares dove more than # percent .	china 's stocks plunge #.# pct on wednesday
britain 's chancellor of the exchequer kenneth clarke thursday defended his decision not to raise interest rates last week , insisting that it did not signal the end of `` monetary policy as we know it '' .	chancellor of the exchequer defends stand on interest rate
a minor earthquake rattled southern bulgaria on friday , but caused no serious damage or injuries , the state bta news agency reported .	minor earthquake rocks southern bulgaria
bill cosby says detroit residents must take responsibility for improving their city and schools .	cosby asks detroit students parents to get active
kazakh racer andrei UNK has left credit agricole to sign a two-year deal with spanish team liberty , his agent jacinto UNK told afp on saturday .	liberty bell sounds for UNK
in a fiery debate on national television , the republican challenger to tom daschle , the senate minority leader , accused daschle of emboldening america 's enemies by criticizing president bush on the eve of war in iraq .	daschle defends iraq remarks
a woman witness _ testifying tuesday from behind a screen and her voice disguised to protect her identity _ told of beatings and abuse at the hands of saddam hussein 's agents in the trial of the former president and seven lieutenants .	woman witness weeps as she recalls beatings torture
the macedonian police seized ##.## kilograms of heroin in northern macedonia , the mia news agency reported wednesday .	macedonian police make major heroin haul
the us military on wednesday faced the prospect of a costly logistical headache trying to move troops and supplies into afghanistan , after kyrgyzstan moved to close a major us air base that served as a vital hub .	us supply routes to afghanistan under strain
academia sinica would be pleased to name u.s. biochemist roger y. tsien , a winner of the #### nobel prize in chemistry , as an honorary academician and invite him to visit taiwan , the head of taiwan 's top research institution said wednesday .	new nobel laureate to be named honorary academia sinica academician
gold medal gymnast nadia comaneci carried the olympic torch along the last leg of a ##-mile -lrb- ##.#-kilometer -rrb- citywide journey saturday , arriving in times square to the cheers of thousands of spectators .	olympic torch passes through new york
when jonathan smith rushed for five touchdowns in his first two games with washington state , it was not surprising .	smith adjusts to tough division i
hong kong stocks went up ##.## points , or #.## percent , to close at ##,###.## on monday .	hong kong stocks close higher feb. ##
the bosnian government refused sunday to extend a frayed four-month truce but pledged to restrain its army if rebel serbs do not attack or block food aid .	u.n. special envoy fails to win government truce extension
hoechst ag , germany 's largest pharmaceutical company , said its UNK gmbh unit has reached an agreement with u.k.-based ici to supply automobile coatings in asia .	hoechst 's UNK u.k. 's ici to sell auto coatings in asia
the nigerian military have seized ## oil trucks used by pirates to smuggle crude oil and petroleum products from the volatile niger delta , a spokesman said monday .	nigeria military seize ## oil trucks used for smuggling crude oil
the communist party on friday moved closer to form a government in nepal , which will make this isolated himalayan nation the only country in the world to have a communist government under a monarch .	communists may form government in nepal china 's neighbor
assailants set fire to ## public buildings in near-simultaneous attacks thursday in thailand 's muslim south and then killed two firefighters rushing to put out one of the blazes , officials said .	three killed as assailants set ## fires in muslim-dominated southern thailand
mexico 's central bank said wednesday it was auctioning off us$ #.# billion in reserves to prop up the struggling peso , the strongest sign yet that the u.s. economic meltdown was hitting its southern neighbor hard .	mexico brazil prop up struggling currencies
leaders of a broad coalition opposed to the construction of a border fence between texas and mexico said wednesday federal officials have assured them local communities will still have a say in the building of any such barrier .	border coalition says it has assurances for local input on fence along texas-mexico border
the new zealand share market closed monday down o. # percent at the end of a dull day .	new zealand sharemarket closes dull
china regrets that the international court of justice did n't order an immediate halt of nato 's bombing of yugoslavia , chinese foreign ministry spokesman zhu bangzao said at a press conference today .	china regrets u.n. court 's rejection of yugoslavia 's request
us general david petraeus was sunday to formally take up his new role of commander of the afghan war in a ceremony at nato 's headquarters in the capital kabul .	new afghan war commander set to formally take reins
a right-wing party said tuesday it will build a hindu temple on a site where its followers razed a mosque and touched off hindu-muslim riots six years ago .	rightwing party vows to build hindu shrine where mosque was razed
UNK owner john UNK could not compete against the beautiful bikini-clad women selling espresso up the road .	seattle-area coffee shops show a little skin to compete for business
after years of struggle and two weeks of debate , democratic advocates of patients ' rights legislation hope to cement a series of compromises and build support for senate passage .	lawmakers eye compromises on hmo bill
the united states recalled peace corps workers from zimbabwe thursday after the government refused to issue work permits for its most recent volunteers .	united states recalls peace corps workers from zimbabwe
irish prime minister brian cowen said friday he was prepared to call a new referendum on the eu 's reforming lisbon treaty , rejected by voters in june , as long as promised guarantees are delivered .	irish pm prepared to hold second referendum on eu treaty
two-thirds of american women with preschool children _ and ## percent of those with infants less than a year old _ are in the labor force , but attitudes toward working mothers have lagged far behind the reality .	attitudes toward working moms lag behind reality survey finds
nigeria 's electoral agency is due to present a new voter register on july ## in line with an ultimatum by the federal government , local media reported on saturday .	nigeria 's electoral agency to present voter register
lebanon 's parliament speaker , who has blocked efforts to establish an international tribunal to try suspects in the assassination of former premier rafik hariri , has asked saudia arabia to initiate talks to try to resolve the dispute over the court , the u.n. chief said thursday .	u.n. chief says lebanon s parliament speaker asked saudi to initiate talks to resolve dispute over tribunal
the general price index of tehran stock exchange closed at #,###.## points on saturday , down #.## points from wednesday 's close .	tehran stock exchange index closes down
the impetus for kevin keegan to stay on as england coach continues to grow , with two of the most powerful men in english football suggesting they would be happy for the fulham boss to become england 's full-time manager .	fa wants keegan full-time
malaysian share prices closed #.# percent higher friday but trading was dull in the absence of fresh leads and ahead of the weekend , dealers said .	malaysian shares close #.# percent higher
a soldier of the army honor guard was referred to investigators after calling for the assassination of the president on a web site , a spokesman for the ministry of national defense said friday .	soldier of army honor guard investigated for threat against president
the ## member states of the osce have agreed to reform the organization without changing the role of its election monitoring teams , but a joint declaration at the close of the summit is unlikely , us and european union officials said tuesday .	osce agrees on reform but keeps election monitoring missions unchanged
a palestinian militiaman was wounded monday by a burst of bullets fired at his car in the west bank town of hebron .	militiaman wounded in shooting
zimbabwean president robert mugabe saturday said that ways should be found to get around technicalities slowing down the country 's land resettlement program .	zimbabwean president calls to speed up land resettlement
share prices in tokyo opened #.## percent higher friday with the nikkei-### index gaining ##.## points to ##,###.## in the first five minutes of trading .	tokyo stocks open #.## percent higher
philippine acting defense secretary eduardo ermita thursday reiterated that peace talks between the government and the national democratic front -lrb- ndf -rrb- should be held in the philippines instead of in a foreign land .	foreign exchange rates in hong kong
a top u.n. official who is being investigated for his ties with kosovo leaders left the province on tuesday after being told his contract would not be renewed .	un official under investigation for alleged improper behavior loses kosovo job
mining italiana will invest ## million canadian dollars -lrb- about # million u.s. dollars -rrb- in three quebec mines .	italy to invest millions of u.s. dollars in quebec mines
twenty-five zambian parastatal companies will be wound up either through liquidation or asset sales .	## parastatal companies to be liquidated in
a group of militants ambushed a van wednesday as it traveled near khar , the main town in the bajur tribal region , killing two women teachers and wounding two other passengers .	pakistan militants kill # women teachers
the u.s. dollar was traded at nt$ ##.### at ##:## a.m. thursday on the taipei foreign exchange , down nt$ #.## from wednesday 's close .	u.s. dollar almost flat in early taipei trading
a stradivarius violin made in #### has been discovered , being so far the fourth one existing in romania , reported on thursday the official rompres news agency .	stradivarius violin discovered in romania
extreme-right presidential candidate jean-marie le pen stepped up his criticism friday of the european union and its symbols , calling the euro `` the currency of occupation '' in france .	far-right leader le pen calls euro the currency of occupation
chinese premier wen jiabao met here thursday with visiting international university sports federation -lrb- fisu -rrb- president george e. killian .	chinese premier meets fisu president
alitalia will cancel some ### flights , more than half of them international , on friday due to a strike by air traffic controllers in italy , the italian carrier announced thursday .	air traffic controllers strike forces alitalia cancellations
hong kong share prices rose #.# percent in opening trade friday led by overnight gains on wall street , dealers said .	hong kong shares open #.# percent higher
two people died and more than ### suffered burns in a fire that broke out during a rock concert in the baltic port of gdansk on thursday night , police said .	two dead in rock concert fire
eight people were killed sunday in a clash between police and extremists in southern egypt and a separate attack by militants on a civilian , police said .	eight killed in clashes in southern egypt
thailand has denied that it is on the united states ' blacklist of drug trading countries , a local newspaper reported today .	thailand denies it 's on us drug blacklist
senior us and south korean officials on tuesday resumed negotiations on how to share the cost of stationing us troops in south korea this year , the foreign ministry here said .	us south korea meet on sharing mutual defense cost
leaders worldwide condemned wednesday 's assassination of serbian prime minister zoran djindjic , expressing their shock at the slaying of a leader who helped bring democratic reforms to his country .	leaders worldwide express shock over assassination of serbian prime minister
sen. ted stevens , the longest serving republican in senate history , narrowly lost his re-election bid tuesday , marking the downfall of a pillar of the u.s. senate and alaska icon who apparently could not survive his conviction on federal corruption charges .	stevens loses alaska senate race
pace bowler andrew flintoff claimed three wickets to pin indian on the back foot after england 's wagging tail bolstered its first innings score on the second day of the third and final cricket test bangalore on thursday .	flintoff 's breakthrough pins india on the back foot after kumble
china 's leading exporting province is seeing a slowdown in the rate of decrease in international trade , according to the quarterly figures from guangdong customs .	glimmer of economic hope as south china region 's slowdown in foreign trade decreases
more than ### iraqi doctors in the city of karbala who say they have received death threats after unsuccessful medical procedures have closed their clinics in protest , their leader said on monday .	iraqi doctors close ### clinics in protest at threats
south african authorities on wednesday evening lodged an appeal against the granting of bail in london to a uk newlywed accused of conspiring to murder his wife near cape town .	south africa opposes bail for UNK suspect in uk
barack obama on sunday savored an easy victory over hillary rodham clinton in wyoming 's caucuses , capturing new momentum after recent setbacks in their fierce tug-of-war for the democratic presidential nomination that could drag on for months .	obama defeats clinton in wyoming caucuses the latest prize in epic democratic race
canada 's prime minister stephen harper dissolved parliament on sunday and called an early election for next month in hopes of strengthening his conservative minority government 's hold on power .	canada s prime minister calls early election
chad 's president idriss deby itno on saturday ordered foreign oil firms chevron and petronas to leave the country from sunday for non-payment of taxes , national radio reported .	chad expels oil firms chevron and petronas
soon after the resumption of the budget session , some members of the parliament accused the government of `` bypassing '' the parliament in deciding to hike the prices of kerosene and cooking gas during the session 's recess , the pti said .	indian parliament resumes budget session
the city was largely shuttered and its airport closed amid a nationwide curfew that was imposed by honduras ' de facto government monday after zelaya slipped back into the country and took shelter in the brazilian embassy .	tensions rise in honduras after leader 's return
eu foreign ministers met monday to try to resolve a lingering sovereignty dispute between greece and turkey which could also affect an eu customs union with ankara .	eu tries to unblock turkey-greece dispute
vowing to fight `` modern-day slave owners , '' attorney general janet reno on thursday created a federal task force to prosecute employers who coerce illegal immigrants to work long hours in sometimes appalling conditions .	task force to fight modern-day slavery in united states
coming on the heels of `` bewitched '' and `` the honeymooners , '' the big-screen version of `` the dukes of hazzard '' makes hollywood 's summer '## excursion into UNK UNK -- UNK if you count `` the bad news bears , '' which also had been a television series .	UNK dukes is faithful to its namesake and just as UNK lame
stocks ended a lethargic session moderately lower monday as a lack of economic news returned investors ' focus to interest rates and inflation ahead of comments from new federal reserve chairman ben bernanke later this week .	u.s. stocks end lower as nasdaq slides ; dow loses ##.##
state media say an explosion at a fireworks plant in northern china has killed ## people and injured six others .	fireworks plant blast kills ## in northern china
west european new passenger car sales were down #.# percent last month compared to february #### , the association of european auto manufacturers said wednesday .	car sales fall across western europe despite big rise in britain
four men were injured in a fire at government headquarters in downtown sofia , government officials said sunday .	four injured in fire at government headquarters
pope john paul ii is close to finishing a new book based on a conversation with a prominent polish roman catholic philosopher , a polish vatican official says .	pope finishing new book on philosophical matters vatican official says
second-seeded goran ivanisevic has withdrawn from the romanian open tennis tournament , officials said wednesday .	ivanisevic pulls out of romanian open
share prices closed #.# percent lower on the bombay stock exchange -lrb- bse -rrb- monday as investors sold on concerns a looming hindu-muslim confrontation over a disputed religious site was destabilising the government .	india stocks close #.# percent lower
the united states , trying to combat syrian attempts to reassert control over lebanon 's political system , said monday it was imposing economic sanctions against four people -- two lebanese and two syrians .	u.s. announces sanctions to combat syrian influence on lebanon
egypt will allow domestic and foreign investors to build and manage airports in the country under new legislation designed to encourage investment , the egyptian mena news agency reported today .	egypt allows foreigners to build airports
law professor richard h. sander , author of a controversial new study concluding that affirmative action hurts black law school students , generally seems an unlikely candidate to challenge a leading liberal cause .	professor 's study challenges affirmative action
samoa has made just one change to its starting lineup for saturday 's test against scotland following last weekend 's strong performance against england .	samoa makes # change to team for scotland
russian president boris yeltsin on monday named his chief-of-staff sergei filatov to attend next monday 's ##th anniversary of the warsaw ghetto uprising against the nazis , his press office said .	yeltsin names filatov to attend warsaw ghetto ceremony
a geyser of oil spewing from the bottom of the gulf of mexico is slowly tapering off with the help of a wellhead cap , but there 's no containing much of the crude that 's already escaped , a reality becoming increasingly evident at the region 's beaches and marshes .	long road to oil cleanup looms over gulf coast
the top chinese envoy on trade relations with washington warned tuesday that u.s. complaints to the world trade organization over product piracy and media market barriers could harm relations on trade issues .	chinese official warns that u.s. piracy complaint could hurt trade ties
the us-led coalition forces in afghanistan on saturday killed four taliban and al-qaida fighters immediately after the guerrillas killed an intelligence official of a southeastern province in an ambush , afghan sources said .	four taliban and al-qaida fighters killed in southeast afghanistan
germany will likely abolish its mandatory military service as part of a wider reform of the armed forces and in a bid to save money , the defense minister said .	germany likely to abolish military service
the newly-elected french national assembly early friday adopted a revised #### budget whose highlight is a five-percent cut in income tax , the first instalment of a ##-percent cut over five years .	french national assembly adopts get
britain 's gulf war veterans tuesday appealed to the british government to stage a public inquiry into the gulf war syndrome .	uk government urged to probe gulf war syndrome
chinese vice-premier wen jiabao met today with visiting belarussian economic minister vladimir nikolayevich UNK .	vice-premier meets belarussian guests
in the first UNK project involving a us corporation in vietnam since the united states normalized relations with its former foe , occidental chemical corp. will help form a joint venture to produce polyvinyl chloride -lrb- pvc -rrb- resin in southern vietnam .	first us UNK project since normalization announced
liverpool and england striker robbie fowler was back in the headlines for the wrong reasons monday after suffering a suspected broken nose in a fight at a liverpool hotel .	england striker back in headlines after hotel fight
u.s. treasury secretary paul o'neill visited the afghan capital on monday , meeting top finance officials and saying he was impressed with government progress on introducing a new currency .	u.s. treasury secretary on one-day visit to afghanistan
the palestinian red crescent society refuted on wednesday israeli accusations that there were shootings from its premises in UNK and from one of its ambulances in UNK settlement , both in the west bank .	palestinian red crescent refutes israeli accusations
opposition members in gabon 's parliament boycotted the election of the national assembly 's new speaker monday , saying that the ruling gabonese democratic party -lrb- pdg -rrb- was abusing its prerogatives .	gabonese opposition boycotts election of new national assembly speaker
these feature stories are moving today to clients of the new york times news service .	cox news service features budget
just a week before his death , richard pryor and his wife sent a letter to an indiana county sheriff expressing outrage about an animal cruelty case .	richard pryor sent letter to sheriff before his death
the china textile industry council said on monday it welcomes and supports the decision just made by the government to revoke export tariffs on ## categories of textile products from june # , #### .	industry welcomes abolishment of china 's textile export tariff
firemen rescued ## people from a high - rise building fire on thursday afternoon in northeast china 's heilongjiang province .	high-rise in ne china catches fire ## rescued
british sky broadcasting plc must reduce its ## percent shareholding in itv to below #.# percent and not take a seat on the company 's board , a government minister said tuesday , accepting an earlier finding by britain 's competition commission .	government tells sky to reduce stake in itv
u.s. intelligence officials on thursday were showing members of congress a videotape and other evidence supporting their case that syria was building a nuclear reactor with north korean assistance before it was bombed by israeli planes last year .	us congress gets video evidence of north korean link to bombed syrian facility
buried in the #-foot stack of more than ### letters from sen. john mccain to federal agencies released by his office several weeks ago is a strongly worded appeal to the federal communications commission written in mccain 's very first week as chairman of the senate commerce committee .	mccain 's role in radio licensing dispute discloses break with
while emergency teams are racing to protect louisiana 's fragile coastlines , the tough business of shutting off the oil spewing into the gulf of mexico is taking place far below the ocean surface .	far beneath the surface us oil spill cleanup unfolds
palestinian foreign minister nabil shaath said monday he hoped hamas and other palestinian militant groups would agree to a cease-fire within days to save prospects for peace in the middle east .	shaath hopeful of early hamas cease-fire urges halt to attacks
nato is continuing to study steps toward taking in new members , the us ambassador to nato said friday , rejecting russian suggestions that the drive to enlargement had been put on ice until #### .	nato denies suspending enlargement program
german insurance giant allianz brandished on thursday strong #### results as it emerged from the global financial crisis in good shape , while remaining modest for #### .	germany 's allianz voices caution despite strong profit
thai prime minister banharn silpa-archa has stated that the fifth asean summit would provide a unique opportunity to realize the integration of southeast asia , the bangkok post reported today .	thai prime minister on asean expansion
foreign currency deposits held by individuals in shanghai have risen markedly in the first half of this year , demonstrating concern among mainland china 's public that mainland china might have to devalue its currency .	shanghai foreign currency rise highlights fears of devaluation
china 's sugar output will further recover from the #### record low and is estimated to reach #.# million tons this year , up ## tons , or #.# percent from last year , according to a recent issue of the china economic herald .	chinese sugar production recovers from low ebb
russia denied thursday that it had hired harold nicholson , a career cia employee charged in the united states with spying for moscow .	russia denies having hired cia employee accused of espionage
two black men accused of killing a white police officer during a #### race riot were ordered to stand trial after a hearing in which witnesses said they saw the suspects at the scene of the shooting .	trial ordered for men charged in '## murder of york pennsylvania
the afghan taliban militia today reiterated its rejection of the demand made by its opponents for demilitarization of kabul , reports reaching here said .	taliban rejects demilitarization of kabul
a major legal hurdle to reopening the fore river shipyard in quincy , mass. was all but removed thursday after a senate panel agreed to change a law that blocks closed shipyards from receiving the federal loan guarantees that are crucial to their revival , congressional aides said .	massachusetts shipyard hopes rise
calling `` slc punk '' the best youth movie to hit theaters this year is n't much of a stretch .	slc punk brings truth meaning to young rebellion
foreign minister karel de gucht said sunday the dalai lama has decided to delay his trip to belgium originally scheduled for june due to concerns it visit would damage belgian ties with china .	dalai lama cancels trip to belgium
goldman sachs and morgan stanley agreed to pay $ ## million each to settle allegations that they sought commitments from customers to buy shares after an initial public offering in a move to support the price after the stock began trading .	# big brokers pay $ ## million to settle suit
the us treasury on monday unveiled a six-billion-dollar package to assist gmac , the troubled financial arm of general motors .	us treasury throws #-billion-dollar lifeline to gmac
new zealand has followed the united nations ' lifting of sanctions against sudan , new zealand foreign minister phil goff announced in a tuesday 's government press release .	new zealand lifts sanctions on sudan
goa 's chief minister briefed indian premier manmohan singh on tuesday about the murder of a british teenager as he insisted the resort state was the nation 's safest tourist destination .	UNK chief minister briefs indian pm on slain british teenager
two-time masters champion jose maria olazabal , paul mcginley and darren clarke all failed in their attempts to make the field for the british open , faltering monday in the international final UNK at sunningdale .	wakefield UNK lead ## into british open ; olazabal clarke mcginley fail
investigators want to question a man who tried to fly into chicago with false passports and two airline uniforms on the day of the terrorist attacks .	federal authorities say man tried to fly from germany to chicago
it was a lot like `` star search , '' except some of the contestants tried to eat the microphone .	star hounds hit high notes for shot at commercial fame
about #,### ethnic albanians rallied friday in skopje to demand the government alter plans to redraw the city 's administrative units _ a move they said would limit their right to govern _ and called for greater rights to use their language .	ethnic albanians march to demand more right for their group
the british open golf championship will return to the hoylake course in north-west england in #### after a gap of nearly ## years , tournament organisers confirmed tuesday .	british open returns to hoylake
french energy giant gdf suez said tuesday its north american subsidiary has agreed to buy UNK power enterprises inc. , an operator of hydro - and gas-powered electricity plants in massachusetts and connecticut .	gdf suez to buy us power company UNK
danish culture minister UNK UNK is to go to britain to meet author salman rushdie to discuss a face-saving visit to copenhagen after an earlier trip was called off , her secretary said tuesday .	danish culture minister to visit rushdie in london
turkey on monday expressed hope that lebanese general elections would bring permanent peace and stability to the country , said an official statement on monday .	turkey hopes lebanese elections bring peace stability
a major tourism fair will be held in the port city of dalian in northeast china 's liaoning province on april ##-## .	china tourism fair in dalian
belarus president alexander lukashenko said tuesday he was confident that parliament would back his policy of integration with russia as the new assembly started work after months of political deadlock .	new belarus parliament starts work
the egyptian beat the american on friday , which is not the way the cookie normally crumbles on a tennis court .	tennis unit puts third world first
a recent environmental inspection along the beijing-guangzhou rail line has showed that the `` white garbage '' which had seriously polluted the surrounding region has almost been eliminated .	railway region cleaning up white pollution
baseball 's average salary burst past $ # million for the first time , and nearly half the players in the major leagues _ ### of ### _ will make $ # million or more , according to a study by the associated press .	baseball salaries break $ # million
police investigating the shooting of taiwanese president chen shui-bian on the eve of his re-election victory have failed to come up with any suspects or leads after reviewing security tapes and interviewing witnesses , said an official on sunday .	taiwan authorities release photos of shot president being treated
witnesses say yemeni security troops have opened fire on thousands of protesters calling for a boycott of april parliamentary elections , wounding a number of demonstrators .	yemeni police clash with protesters
a noted sri lankan tamil scholar claimed wednesday that indian authorities had prevented him from taking part in the world tamil conference in southern india because they suspected him of links with tamil militants , the press trust of india reported .	sri lankan scholar denied entry to world tamil conference
with gentle persuasion and wafting aromas , a group of canadian and u.s. churches are pushing thousands of members to drink coffee that improves the lot of latin america 's farmers .	churches activists push cafes to stock fair-trade coffee with UNK
china has canceled debts totalling #.# billion dollars owed by ## african countries , chinese prime minister wen jiabao told a major sino-african cooperation conference on monday .	china writes off #.# billion dollars of african debt
eighty percent of the young farmers in a remote village at dingzhou , a city in north china 's hebei province , have left their hometown to take new jobs .	chinese farmers find more ways to make a good living
as roma 's hopes of qualifying for the quarter-finals of the champions league were virtually extinguished after the italians lost #-# to valencia here at the olympic stadium on tuesday .	carew 's freak goal leaves roma in ruins
`` people all over the world need and yearn for peace , '' said chinese foreign minister li zhaoxing here tuesday .	people desire and yearn for peace chinese fm
